# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-g" "ID" "--primary" "-T" "16" "-a" "../sacCer3/sacCer3_RENAMED.gff" "-o" "wrs3_s1_counts.txt" "BRR1_WRS1_dupl.bam" "BRR1_WRS2_dupl.bam" "BRR2_WRS1_dupl.bam" "BRR2_WRS2_dupl.bam" "BRR3_WRS1_dupl.bam" "BRR3_WRS2_dupl.bam" 
Geneid	Chr	Start	End	Strand	Length	BRR1_WRS1_dupl.bam	BRR1_WRS2_dupl.bam	BRR2_WRS1_dupl.bam	BRR2_WRS2_dupl.bam	BRR3_WRS1_dupl.bam	BRR3_WRS2_dupl.bam
YAR071W	1	225460	226863	+	1404	232	340	244	396	528	299
YAR073W	1	227742	228953	+	1212	73	90	185	105	121	64
YAR075W	1	228844	229317	+	474	15	13	18	11	11	8
YBL113C	2	280	2658	-	2379	2371	7360	3596	6040	7089	4148
YBL113W-A	2	646	1128	+	483	16	60	24	32	51	20
YBL112C	2	2582	2899	-	318	0	0	0	2	0	0
YBL111C	2	2907	5009	-	2103	39	21	41	41	93	33
YBL109W	2	5790	6125	+	336	0	14	5	0	2	1
YBL108C-A	2	7605	7733	-	129	0	7	2	4	3	8
YBL108W	2	8177	8482	+	306	2	15	4	15	9	5
YBL107W-A	2	9268	9372	+	105	1	16	2	7	2	15
YBL107C	2	9961	10551	-	591	3779	5107	3539	4066	5421	3052
YBL106C	2	10847	13879	-	3033	5116	4053	4655	2614	5811	2175
YBL105C	2	14241	17696	-	3456	5097	10619	5808	6342	17463	5057
YBL104C	2	18177	21293	-	3117	4211	5750	5940	4566	8369	4052
YBL103C	2	22076	23536	-	1461	1897	4393	3515	2668	6252	2442
YBL102W	2	24098	24745	+	648	3186	3908	2248	3371	3581	3257
YBL101C	2	24946	28299	-	3354	2137	12330	3937	7169	14496	7363
YBL100W-C	2	28427	28546	+	120	51	98	31	80	44	69
YBL100C	2	36989	37303	-	315	7	22	3	12	16	16
YBL099W	2	37053	38690	+	1638	9709	40300	16753	29786	43138	22210
YBL098W	2	39145	40527	+	1383	5460	6871	3849	4712	5869	4378
YBL097W	2	40831	43095	+	2265	5416	7221	5144	5695	7531	4163
YBL096C	2	43174	43482	-	309	31	73	143	103	110	52
YBL095W	2	43277	44089	+	813	6904	7970	5977	7437	8548	5881
YBL094C	2	43765	44097	-	333	151	196	502	304	346	146
YBL093C	2	44256	44918	-	663	9189	6774	15494	10306	14196	7962
YBL092W	2	45645	46370	+	726	51619	61048	71572	65344	109597	67608
YBL091C-A	2	46565	47180	-	616	1190	2876	1382	2682	2432	2403
YBL091C	2	47363	48628	-	1266	8941	17210	14926	13277	17754	10761
YBL090W	2	48825	49358	+	534	7427	7713	5846	7073	6560	5332
YBL089W	2	49574	50953	+	1380	829	1817	1357	1563	1697	1494
YBL088C	2	51019	59382	-	8364	4001	9137	5223	5814	20798	5128
YBL087C	2	59822	60739	-	918	27478	14742	25179	17253	33860	17579
YBL086C	2	61202	62602	-	1401	1170	5446	1822	5170	3624	4758
YBL085W	2	63876	66818	+	2943	7144	14466	7421	10896	12409	7929
YBL084C	2	67169	69445	-	2277	1466	3496	2102	2737	3133	2556
YBL083C	2	69713	70138	-	426	16	14	27	18	15	8
YBL082C	2	69751	71127	-	1377	1469	1287	1485	874	1321	836
YBL081W	2	71866	72972	+	1107	266	371	582	563	1686	375
YBL080C	2	73070	74695	-	1626	814	2893	993	1965	2540	1689
YBL079W	2	75259	79767	+	4509	26283	23372	25951	18514	30872	15249
YBL078C	2	80378	80731	-	354	2568	11057	2639	7357	5144	6397
YBL077W	2	80897	81328	+	432	25	10	12	8	27	8
YBL076C	2	81043	84261	-	3219	26032	14871	21372	10733	31700	9992
YBL075C	2	84499	86448	-	1950	7739	71408	30400	56500	51528	66526
YBL074C	2	86722	87789	-	1068	1159	1662	1678	1940	2701	1504
YBL073W	2	87646	87957	+	312	3	8	4	5	3	2
YBL072C	2	88523	89440	-	918	95979	69687	88287	74735	109295	74115
YBL071C-B	2	89458	89556	-	99	14	29	29	13	10	30
YBL071W-A	2	89978	90226	+	249	320	649	1483	1033	1807	1120
YBL071C	2	90223	90531	-	309	14	23	39	30	30	20
YBL070C	2	90605	90925	-	321	0	4	0	4	0	5
YBL069W	2	90741	92030	+	1290	557	1723	2425	1818	2498	1675
YBL068W-A	2	91794	92030	+	237	0	0	0	0	0	0
YBL068W	2	92414	93394	+	981	1403	1862	3834	1974	3442	1894
YBL067C	2	93639	95882	-	2244	2832	9732	3736	4734	17655	4750
YBL066C	2	96669	100115	-	3447	1993	3115	2394	1912	11089	1654
YBL065W	2	99963	100307	+	345	42	294	30	255	84	270
YBL064C	2	100371	101156	-	786	8316	33434	10693	31781	18835	27926
YBL063W	2	101886	105221	+	3336	3376	7090	2796	4823	5551	4094
YBL062W	2	105308	105688	+	381	30	79	26	40	41	40
YBL061C	2	105316	107406	-	2091	4097	2332	3039	2163	7491	1669
YBL060W	2	107932	109995	+	2064	901	1957	1574	1586	4490	1331
YBL059C-A	2	110125	110539	-	415	5182	5799	2852	5754	5197	4067
YBL059W	2	110594	111244	+	651	4413	4109	2835	3156	3813	2578
YBL058W	2	111437	112708	+	1272	15027	23972	10556	16102	16402	12764
YBL057C	2	112801	113427	-	627	7878	4903	6343	4856	8057	4344
YBL056W	2	113762	115168	+	1407	11077	11404	6743	8844	9035	6836
YBL055C	2	115573	116829	-	1257	5949	1348	3871	1594	3452	1297
YBL054W	2	117589	119166	+	1578	2331	1282	6785	2555	8763	2056
YBL053W	2	119335	119709	+	375	125	57	338	72	256	68
YBL052C	2	119379	121874	-	2496	6394	9002	6764	7017	9714	5854
YBL051C	2	122753	124759	-	2007	1826	13200	5451	8404	11220	6005
YBL050W	2	125125	126119	+	995	8466	17710	9658	14151	13933	12175
YBL049W	2	126828	127244	+	417	1681	3126	1309	3396	3140	3146
YBL048W	2	127299	127610	+	312	521	1229	519	1478	1041	1222
YBL047C	2	127895	132040	-	4146	9016	49005	13796	25571	31354	19531
YBL046W	2	132424	133749	+	1326	3939	3739	2904	2475	4097	1954
YBL045C	2	134143	135516	-	1374	35393	45271	25240	36963	38771	26737
YBL044W	2	135998	136366	+	369	19	40	12	23	15	50
YBL043W	2	136688	137461	+	774	15729	5840	6222	4982	7036	5250
YBL042C	2	138341	140260	-	1920	8589	12262	20409	13796	24029	17716
YBL041W	2	141247	141972	+	726	3326	13119	7754	10472	12478	9745
YBL040C	2	142112	142868	-	757	6209	6061	4067	5148	6192	4030
YBL039W-B	2	143393	143572	+	180	959	3706	1538	4227	2654	4035
YBL039C	2	143989	145728	-	1740	25917	2723	23711	4783	19910	4938
YBL039C-A	2	144948	145031	-	84	0	0	0	0	0	0
YBL038W	2	146187	146885	+	699	11374	11254	7266	8266	8977	6893
YBL037W	2	147209	150286	+	3078	2668	4298	2537	2910	5869	2440
YBL036C	2	150447	151220	-	774	9459	5850	9587	5801	10879	5401
YBL035C	2	151493	153610	-	2118	2688	3463	3114	3837	7873	2832
YBL034C	2	153848	158389	-	4542	4050	6226	3744	4604	8594	3775
YBL033C	2	158656	159693	-	1038	7369	13994	14694	13548	17329	12869
YBL032W	2	160184	161329	+	1146	1024	6263	1995	3659	4205	4008
YBL031W	2	161699	162715	+	1017	601	2219	1100	2033	2162	1691
YBL030C	2	163041	163997	-	957	2920	6067	3064	5507	13632	3887
YBL029C-A	2	164488	164772	-	285	3077	6281	2481	5600	2968	4004
YBL029W	2	166134	167264	+	1131	840	1957	1562	2047	1850	1416
YBL028C	2	167518	167838	-	321	15590	3300	14440	5938	12477	5666
YBL027W	2	168423	169376	+	954	91488	79777	106374	77813	134608	71783
YBL026W	2	170623	171038	+	416	6508	6696	5105	5689	6045	5232
YBL025W	2	171481	171918	+	438	2820	3377	2473	2474	2983	2219
YBL024W	2	172534	174588	+	2055	17194	10289	18289	8260	18113	7149
YBL023C	2	174920	177526	-	2607	11991	6800	9299	6321	13444	4720
YBL022C	2	177874	181275	-	3402	10421	27439	13776	18544	23656	13962
YBL021C	2	181660	182094	-	435	5952	3135	3827	2824	4439	2132
YBL020W	2	182401	184125	+	1725	6022	4327	6081	3740	6996	2928
YBL019W	2	184353	185915	+	1563	3292	3469	2179	2935	3599	2502
YBL018C	2	185998	186474	-	477	2493	1202	1644	1395	2698	1432
YBL017C	2	186844	191583	-	4740	17988	27524	16965	15776	21742	11266
YBL016W	2	192451	193512	+	1062	330	285	389	356	371	239
YBL015W	2	194122	195702	+	1581	19467	33107	12423	27299	22079	21247
YBL014C	2	199064	201748	-	2685	8639	4911	10501	5720	10957	4708
YBL013W	2	202056	203261	+	1206	583	1167	661	1046	1212	997
YBL012C	2	203406	203807	-	402	10	21	4	17	24	24
YBL011W	2	203538	205817	+	2280	5088	8549	5266	7163	10317	5861
YBL010C	2	206107	206949	-	843	2170	2052	1972	1872	3463	1644
YBL009W	2	207194	209224	+	2031	3360	4348	3257	3471	5330	2931
YBL008W-A	2	209409	209648	+	240	7	15	21	29	33	13
YBL008W	2	209653	212175	+	2523	3208	2690	3433	2714	5475	2262
YBL007C	2	212632	216366	-	3735	14981	34848	16281	22496	22118	18051
YBL006C	2	216587	217129	-	543	9982	7388	5828	6247	8120	5396
YBL006W-A	2	216711	216860	+	150	56	68	33	54	41	63
YBL005W	2	217470	220400	+	2931	867	1399	1239	1195	3616	1078
YBL004W	2	227636	235117	+	7482	65524	17409	45518	12767	49017	11728
YBL003C	2	235394	235792	-	399	13105	30771	6670	25985	12291	22098
YBL002W	2	236492	236887	+	396	18342	53897	12850	43741	20922	36539
YBL001C	2	237153	237467	-	315	30197	54720	37208	68505	62521	65318
YBR001C	2	238941	241283	-	2343	6598	21559	6495	13518	16929	11274
YBR002C	2	241708	242568	-	861	5176	4599	5514	4488	6823	4101
YBR003W	2	242809	244230	+	1422	1926	5168	2304	4469	3564	2990
YBR004C	2	244366	245667	-	1302	1518	1040	1776	1010	1421	755
YBR005W	2	245906	246547	+	642	2987	2081	2188	1845	1568	1528
YBR006W	2	247010	248503	+	1494	3688	6613	2862	5807	5160	4404
YBR007C	2	248806	251016	-	2211	669	544	719	525	1951	446
YBR008C	2	252563	254209	-	1647	505	1001	556	814	1499	826
YBR009C	2	255373	255684	-	312	29558	78603	16537	62677	27277	56680
YBR010W	2	256331	256741	+	411	40521	80967	21296	63574	31461	63202
YBR011C	2	257112	257975	-	864	17467	73314	38210	66772	55950	57207
YBR012C	2	259147	259566	-	420	380	187	346	268	331	151
YBR013C	2	265492	265881	-	390	588	887	510	1115	866	975
YBR014C	2	266725	267336	-	612	4651	6978	3526	4931	5215	4030
YBR015C	2	267710	269503	-	1794	7956	15213	9283	8048	9099	6081
YBR016W	2	270247	270633	+	387	1714	18689	4921	12033	7665	9478
YBR017C	2	270947	273703	-	2757	11649	11941	13714	9682	19176	7450
YBR018C	2	274427	275527	-	1101	24	108	33	93	69	104
YBR019C	2	276253	278352	-	2100	59	100	112	64	85	75
YBR020W	2	279021	280607	+	1587	75	370	101	246	569	238
YBR021W	2	281443	283344	+	1902	2727	1411	3701	1502	5395	1683
YBR022W	2	283738	284271	+	534	2512	2301	1846	2232	2496	1991
YBR023C	2	284428	287925	-	3498	12672	9326	9251	7534	10620	5556
YBR024W	2	289445	290350	+	906	2715	5120	2534	4495	3781	3017
YBR025C	2	290681	291865	-	1185	26253	33200	32917	27225	44558	25302
YBR026C	2	292877	294019	-	1143	2800	29830	8762	21465	19481	20927
YBR027C	2	294024	294356	-	333	151	298	174	232	417	201
YBR028C	2	294425	296002	-	1578	1178	3476	2335	2600	5662	2433
YBR029C	2	296369	297742	-	1374	7188	9358	8359	4395	7666	4256
YBR030W	2	298292	299950	+	1659	2625	3875	5023	2938	5968	2951
YBR031W	2	300166	301254	+	1089	14959	21418	20364	13291	44878	12975
YBR032W	2	301519	301821	+	303	129	96	400	390	637	102
YBR033W	2	301944	304703	+	2760	2069	4140	1898	3102	3109	2196
YBR034C	2	304930	305976	-	1047	9911	3850	19104	10103	16057	9146
YBR035C	2	306269	306955	-	687	14346	16638	10666	13764	14735	12586
YBR036C	2	309081	310313	-	1233	9483	11891	7024	7124	6836	4948
YBR037C	2	310565	311452	-	888	3351	7039	2174	5618	3658	3802
YBR038W	2	311898	314789	+	2892	989	2700	2116	1747	3631	1877
YBR039W	2	315575	316510	+	936	26251	48321	29392	41512	46449	30763
YBR040W	2	316968	317864	+	897	58	85	92	95	73	96
YBR041W	2	318266	320275	+	2010	3896	4784	2599	3452	3525	2394
YBR042C	2	320416	321609	-	1194	2068	2146	2929	2494	3407	2053
YBR043C	2	321876	323945	-	2070	15224	17543	12846	9060	14904	7604
YBR044C	2	324341	326059	-	1719	3918	4419	2521	3200	3800	2515
YBR045C	2	328173	330092	-	1920	3572	6951	2435	4621	3566	4317
YBR046C	2	330507	331511	-	1005	18118	29540	13655	21511	20995	19007
YBR047W	2	331833	332360	+	528	5581	5910	3953	5356	6206	4696
YBR048W	2	332831	333812	+	982	9427	30124	32951	34976	31357	33186
YBR049C	2	334386	336818	-	2433	12971	22316	13045	12565	17974	11691
YBR050C	2	337183	338199	-	1017	10606	5769	4699	2070	2088	1793
YBR051W	2	337988	338338	+	351	61	88	35	51	26	41
YBR052C	2	338720	339352	-	633	11255	17766	6169	16456	9778	12335
YBR053C	2	339675	340751	-	1077	3184	11684	3261	9155	5919	7703
YBR054W	2	343101	344135	+	1035	2286	8468	3179	8789	4558	7553
YBR055C	2	344602	347301	-	2700	6605	7041	7874	5845	9802	4788
YBR056W	2	347879	349384	+	1506	5244	16990	3980	12995	8109	9637
YBR056W-A	2	351255	351455	+	201	2329	680	1273	587	475	541
YBR056C-B	2	351293	351451	-	159	56	70	100	60	72	51
YBR057C	2	352193	353293	-	1101	1997	6947	5249	5962	6441	5339
YBR058C	2	353672	356017	-	2346	5005	5835	4973	4488	8638	4074
YBR058C-A	2	356324	356566	-	243	9516	7203	6024	6693	7661	5748
YBR059C	2	356861	360187	-	3327	9954	30853	11776	20921	20606	16103
YBR060C	2	360652	362514	-	1863	1648	5709	4600	4481	7513	3519
YBR061C	2	364787	365719	-	933	1053	569	843	478	2448	494
YBR062C	2	365976	366600	-	625	5293	7694	4120	6413	6201	5348
YBR063C	2	366970	368184	-	1215	1873	1611	3032	1887	3987	1708
YBR064W	2	367763	368191	+	429	5	13	2	3	0	2
YBR065C	2	368584	369678	-	1095	3108	2526	4918	3887	7128	3413
YBR066C	2	370037	370699	-	663	5592	4634	4018	4910	4013	3118
YBR067C	2	372103	372735	-	633	6100	39930	16165	21681	56053	23479
YBR068C	2	373861	375690	-	1830	32071	48680	57477	43901	57119	41061
YBR069C	2	376574	378433	-	1860	7685	3569	13260	5109	9122	5314
YBR070C	2	379221	379934	-	714	1623	1652	814	1919	2296	1397
YBR071W	2	380411	381046	+	636	3751	9847	3325	8263	10688	4673
YBR072W	2	382030	382674	+	645	15457	184214	51404	133203	109251	180759
YBR072C-A	2	382860	383021	-	162	1	11	0	5	1	8
YBR073W	2	383112	385988	+	2877	1627	1510	975	1570	3134	1161
YBR074W	2	386286	389216	+	2931	11414	8166	9554	6370	11473	4929
YBR076W	2	390227	391291	+	1065	54	319	73	185	141	176
YBR076C-A	2	391351	391617	-	267	1462	2001	1074	1659	1441	1657
YBR077C	2	391805	392293	-	489	3025	4013	2540	3536	3879	3292
YBR078W	2	393123	394742	+	1620	15907	30288	16596	21848	24069	22637
YBR079C	2	395383	398277	-	2895	12516	27630	30254	19371	42575	14376
YBR080C	2	398614	400890	-	2277	2204	8465	5448	6242	9861	4729
YBR081C	2	401253	405251	-	3999	14378	15511	12022	10873	17322	8460
YBR082C	2	406628	407169	-	542	16199	15440	18138	17716	18274	14143
YBR083W	2	409169	410629	+	1461	755	2493	1363	1879	3953	1411
YBR084W	2	411054	413981	+	2928	34443	4651	25985	8452	23790	6149
YBR084C-A	2	414186	415261	-	1076	29065	64914	76148	66845	96646	64510
YBR085W	2	415983	416906	+	924	40	52	85	44	102	62
YBR085C-A	2	418907	419164	-	258	14027	24159	10124	33086	15736	27871
YBR086C	2	420201	423041	-	2841	1684	14713	3290	7234	7813	5305
YBR087W	2	423765	424829	+	1065	3620	2554	2188	2555	3774	1959
YBR088C	2	424990	425766	-	777	3207	4200	3104	4933	8036	3744
YBR089W	2	425183	425782	+	600	9	22	6	10	25	11
YBR089C-A	2	426190	426873	-	684	1959	4064	1619	2683	2075	3000
YBR090C	2	426333	427058	-	726	102	94	144	154	129	69
YBR091C	2	427155	427484	-	330	1213	1156	1216	1344	1636	1131
YBR092C	2	427698	429101	-	1404	10604	2225	14676	4326	12261	3600
YBR093C	2	429548	430951	-	1404	582	1184	602	1030	992	914
YBR094W	2	432036	434297	+	2262	1354	5323	3103	4596	5965	3640
YBR095C	2	434406	435698	-	1293	8402	7239	6066	5078	6970	4461
YBR096W	2	436021	436713	+	693	2297	2298	1696	2110	2147	1550
YBR097W	2	436951	441315	+	4365	2807	8205	3530	5774	8505	4879
YBR098W	2	441515	443590	+	2076	2561	3309	1759	2990	4075	2347
YBR099C	2	442924	443307	-	384	149	448	267	515	359	416
YBR101C	2	443821	444693	-	873	6674	7180	5436	7922	9569	6999
YBR102C	2	445062	447323	-	2262	2327	6156	4690	5181	7235	4313
YBR103W	2	447709	449316	+	1608	5561	7743	4182	5318	6595	4689
YBR103C-A	2	449320	449463	-	144	6	3	4	2	6	3
YBR104W	2	449667	450656	+	990	6295	2549	7010	3161	8203	2922
YBR105C	2	450881	451969	-	1089	1602	4629	24249	15378	26487	15346
YBR106W	2	452658	453224	+	567	26143	15699	23809	17864	25174	14963
YBR107C	2	453793	454530	-	738	1535	1563	926	1473	1976	1403
YBR108W	2	454822	457665	+	2844	488	2774	865	1708	4610	1385
YBR109C	2	457919	458362	-	444	4929	9561	6244	8202	8578	7554
YBR109W-A	2	458608	458832	+	225	245	127	203	131	129	137
YBR110W	2	458872	460221	+	1350	4553	4049	3616	3243	3928	2409
YBR111C	2	461178	461873	-	696	9991	17069	8556	16070	13727	13408
YBR111W-A	2	462139	462579	+	441	3148	4628	2621	4402	3213	3680
YBR112C	2	462870	465770	-	2901	3693	18628	6535	13424	20145	9869
YBR113W	2	465566	466048	+	483	9	24	10	21	24	29
YBR114W	2	467248	469620	+	2373	1721	3238	9795	8860	13110	7422
YBR115C	2	469748	473926	-	4179	41526	15669	39471	11648	38323	9924
YBR116C	2	474199	474726	-	528	237	4890	790	3833	1383	3066
YBR117C	2	474392	476437	-	2046	1285	29434	4373	22154	11546	16426
YBR118W	2	477671	479047	+	1377	175310	303192	217906	255243	280403	249552
YBR119W	2	479338	480323	+	986	3417	4146	2221	2933	3000	2278
YBR120C	2	480435	480923	-	489	1712	6042	1633	4163	2328	3523
YBR121C	2	481364	483367	-	2004	41087	40188	43490	30081	45307	21991
YBR121C-A	2	482326	482484	-	159	0	0	0	0	0	0
YBR122C	2	483970	484503	-	534	6320	7684	4853	5811	5477	4406
YBR123C	2	484742	486691	-	1950	1332	2866	1642	1820	3984	1716
YBR124W	2	486507	486866	+	360	13	35	8	22	13	36
YBR125C	2	487199	488380	-	1182	2111	3475	3954	3311	5135	2728
YBR126C	2	488905	490392	-	1488	18340	83579	10612	62800	23848	41424
YBR126W-A	2	490850	491056	+	207	351	706	215	717	311	871
